"year","field","transect","plot","Achilleamillefolium","Agastachefoeniculum","Agropyronrepens","Agrostisscabra","Alliumstellatum","Ambrosiasp","Amorphacanescens","Amphicarpabracteata","Andropogongerardi","Anemonecylindrica","Anemonepatens","Anemonequinquefolia","Antennarianeglecta","Apocynumandrosaemifolium","Apocynumsibiricum","Apocynumsp","Aquilegiacanadensis","Arabissp","Arenarialateriflora","Aristidabasiramea","Aristidasp","Aristidatuberculosa","Artemisiacampestris","Artemisialudoviciana","Asclepiasovalifolia","Asclepiassp","Asclepiassyriaca","Asclepiastuberosa","Asclepiasverticillata","Asclepiasviridiflora","Asterazureus","Asterericoides","Astersimplex","Astersp","Asterumbellatus","Astragaluscanadensis","Berteroaincana","Boutelouacurtipendula","Boutelouahirsuta","Bromusinermis","Buchloedactyloides","Calamovilfalongifolia","Campanularotundifolia","Ceanothusamericanus","Cenchruslongispinus","Chenopodiumalbum","Chenopodiumleptophyllum","Chrysopsisvillosa","Cirsiumsp","Coreopsispalmata","Crepistectorum","Danthoniaspicata","Delphiniumvirescens","Desmodiumcanadense","Digitariasp","Equisetumarvense","Equisetumlaevigatum","Equisetumsp","Eragrostisspectabilis","Erechtiteshieracifolia","Erigeroncanadensis","Erigeronsp","Erigeronstrigosus","Euphorbiacorollata","Euphorbiaglyptosperma","Euphorbiasp","Euthamiagraminifolia","Fragariavirginiana","Galiumboreale","Gnaphaliumobtusifolium","Hedeomahispida","Helianthemumbicknellii","Helianthuslaetiflorus","Heucherarichardsonii","Hieraciumsp","Koeleriacristata","Lactucabiennis","Lathyrusvenosus","Lecheastricta","Lepidiumdensiflorum","Leptolomacognatum","Lespedezacapitata","Liatrisaspera","Linariavulgaris","Lithospermumcaroliniense","Lobeliaspicata","Loniceradioica","Lychnisalba","Maianthemumcanadense","Medicagolupulina","Melilotussp","Miscellaneousferns","Miscellaneousrushes","Miscellaneoussedges","Mollugoverticillata","Monardafistulosa","Monardapunctata","Muhlenbergiaracemosa","Oenotherabiennis","Oxalisstricta","Oxybaphushirsutus","Panicumcapillare","Panicumoligosanthes","Panicumperlongum","Panicumpraecocious","Panicumsp","Panicumvirgatum","Parietariapensylvanica","Parthenocissusvitacea","Paspalumciliatifolium","Penstemongracilis","Penstemongrandiflorus","Petalostemumcandidum","Phalarisarundinacea","Phleumpratense","Phloxpilosa","Phrymaleptostachya","Physalisheterophylla","Physalissp","Physalisvirginiana","Plantagopatagonica","Poapratensis","Polygalapolygama","Polygonatumcanaliculatum","Polygonellaarticulata","Polygonumconvolvulus","Polygonumpensylvanicum","Polygonumtenue","Potentillaargentea","Potentillaarguta","Potentillanorvegica","Potentillarecta","Potentillasimplex","Potentillasp","Pyrolarotundifolia","Ranunculusrhomboideus","Rhusglabra","Rhusradicans","Rosaarkansana","Rubussp","Rudbeckiahirta","Rumexacetosella","Salsolakali","Schizachyriumscoparium","Scutellariaparvula","Secalecereale","Setarialutescens","Sileneantirrhina","Sisyrinchiumcampestre","Smilacinaracemosa","Solidagogigantea","Solidagonemoralis","Solidagorigida","Solidagosp","Solidagospeciosa","Sorghastrumnutans","Sporoboluscryptandrus","Stachyspalustris","Stipaspartea","Strophostylesleiosperma","Taraxicumofficinalis","Tradescantiaoccidentalis","Tragopogondubius","Trifoliumarvense","Trifoliumsp","Urticadioica","Verbascumthapsus","Verbenabracteata","Veronicastrumvirginicum","Viciavillosa","Violapedatifida","Violasagittata","Violasp","Vitisriparia","Zeamays","yrab","age","burned","hasbeenburned","foreststatus","bearing","lastcrop","richness","expshannon","invsimpson","lightunderveg","lightunderlitter","p_veg","p_tot","mod_underveg","mod_underlitter","soilmatchyrs","psoilC","psoilN","Bareground","Miscellaneouslitter"
1997,26,"W",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.05,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,40,FALSE,FALSE,"HF","S","soybeans",8,5.8245279770555,4.6608784473953,NA,NA,0.585,0.735,NA,NA,1995,0.604,0.0478,0.265,0.15
1997,27,"Y",1,0.015,0,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,1947,50,FALSE,FALSE,"NF","N","unknown",8,5.25194229034146,4.60935699469924,NA,NA,0.4,1,0.692619289380509,0.102959271953277,1995,0.547,0.051,0,0.6
2002,24,"R",11,0,0,0.001,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.2,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,34,TRUE,FALSE,"NF","N","soybeans",11,3.98660746782732,2.41202242427098,NA,NA,0.32,0.93,0.910517110311083,0.160489600976153,2001,0.704,0.068,0.07,0.61
2002,26,"W",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.204,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,1957,45,FALSE,FALSE,"HF","S","soybeans",10,4.37103544114367,2.95441525493085,NA,NA,0.38,0.78,NA,NA,2001,0.032,NA,0.22,0.4
2002,27,"Y",1,0.035,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0.1,0,0,0,0,0,1947,55,FALSE,FALSE,"NF","N","unknown",13,7.92742094604177,6.03448275862069,NA,NA,0.35,1,0.725158195578391,0.102959271953277,2001,0.087,NA,0,0.65
2006,24,"R",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.005,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,38,TRUE,FALSE,"NF","N","soybeans",9,4.14600209294492,2.97925406585828,NA,NA,0.322,0.965,0.909983802618127,0.149811227037841,2007,0.773,0.067,0.035,0.643
2006,26,"W",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,49,FALSE,FALSE,"HF","S","soybeans",7,3.97240918983708,3.21551540913921,NA,NA,0.123,0.98,NA,NA,2007,NA,NA,0.02,0.857
2006,27,"Y",1,0.004,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.022,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.21,0,0,0,0,0,1947,59,FALSE,FALSE,"NF","N","unknown",8,3.30701515422649,2.22530256710918,NA,NA,0.326,1,0.741315506668755,0.102959271953277,2007,NA,NA,0,0.674
2011,24,"R",11,0.06,0,0,0.002,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.05,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,1e-04,0.035,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,1968,43,TRUE,TRUE,"NF","N","soybeans",19,4.76333236928997,2.9741414932486,NA,NA,0.6475,0.95,0.827221927520765,0.154297799963146,2007,0.773,0.067,0.05,0.3025
2011,26,"W",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,54,FALSE,FALSE,"HF","S","soybeans",7,2.81238038818953,2.02474771744354,NA,NA,0.0636,0.9925,NA,NA,2007,NA,NA,0.0075,0.9289
2011,27,"Y",1,0.045,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.0035,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,1947,64,FALSE,FALSE,"NF","N","unknown",11,4.59589023135221,3.25954311618214,NA,NA,0.5007,1,0.631450183179137,0.102959271953277,2007,NA,NA,0,0.4993
